TITLE,FOUND,WHATSAPP IMAGE SKU,GOOGLE DRIVE SKU,ISSUE
COFFEE SET WITH ROUND TRAY,TRUE,18-003-KITŞ-18,18-003-KITŞ6-18,supplier (whatsapp images)
COFFEE SET WITH ROUND TRAY,TRUE,10-003-KTŞ6-18 ,18-003-KTŞ6-18,data entry (extracted csv)
ROUND SUGAR BOWL WITH PATTERNED,TRUE,13-004-K-PMB-19 ,13-004-K-PMB-11,supplier (whatsapp images)
DECORATIVE TEA SPOON  ,TRUE,14-004-k-11,14-004-11,supplier (whatsapp images)
DECORATIVE TEA SPOON  ,TRUE,14-004-k-18,14-004-18,supplier (whatsapp images)
STONE DECORATED COFFEE CUP,TRUE,12-003-KTŞ6-11,18-003-KTŞ6-11,supplier (whatsapp images)
STONE DECORATED COFFEE CUP,TRUE,12-003-KTŞ6-18,18-003-KTŞ6-18,supplier (whatsapp images)
EYLÜL BLACK COFFEE SET  ,TRUE,12-020-SK6-11,12-020-SK6-19 ,supplier (whatsapp images)
ROUND SUGAR BOWL WITH PATTERNED PORCELAIN   ,TRUE,13-004-K-TRNC-19,13-004-K-TRNC-11,supplier (whatsapp images)
ROUND SUGAR BOWL WITH PATTERNED PORCELAIN   ,TRUE,13-004-K-MAVİ-19,13-004-K-MAVİ-11,supplier (whatsapp images)
ROUND SUGAR BOWL WITH PATTERNED PORCELAIN   ,TRUE,13-004-K-KHVR-19,13-004-K-KHVR-11,supplier (whatsapp images)
LARGE SIZE DELIGHT CASE ,FALSE,13-002-TŞ-18,N/A,drive image not found
LARGE SIZE DELIGHT CASE ,FALSE,13-002-TŞ-11,N/A,drive image not found
LARGE SIZE DELIGHT CASE ,FALSE,13-002-ITŞ-18,N/A,drive image not found
LARGE SIZE DELIGHT CASE ,FALSE,13-002-ITŞ-11,N/A,drive image not found
